Website Name,USWDS Score,Date
18f.gov,100,18-Jun-20
18f.gov,100,18-Jun-20
18f.gov,100,18-Jun-20
18f.gov,100,18-Jun-20
18f.gov,100,18-Jun-20
18f.gov,100,18-Jun-20
18f.gov,100,30-Jun-20
18f.gov,100,30-Jun-20
18f.gov,100,30-Jun-20
18f.gov,100,30-Jun-20
18f.gov,100,30-Jun-20
18f.gov,100,30-Jun-20
18f.gov,100,1-Jul-20
18f.gov,100,18-Jul-20
18f.gov,100,31-Jul-20
18f.gov,100,31-Jul-20
18f.gov,100,31-Jul-20
18f.gov,100,31-Jul-20
18f.gov,100,31-Jul-20
18f.gov,100,31-Jul-20
18f.gov,100,17-Aug-20
18f.gov,100,17-Aug-20
18f.gov,100,17-Aug-20
18f.gov,100,17-Aug-20
18f.gov,100,17-Aug-20
18f.gov,100,17-Aug-20
18f.gov,100,29-Aug-20
18f.gov,100,29-Aug-20
18f.gov,100,29-Aug-20
18f.gov,100,29-Aug-20
18f.gov,100,29-Aug-20
18f.gov,100,29-Aug-20
18f.gov,100,2-Sep-20
18f.gov,100,15-Sep-20
18f.gov,100,15-Sep-20
18f.gov,100,15-Sep-20
18f.gov,100,15-Sep-20
18f.gov,100,15-Sep-20
18f.gov,100,15-Sep-20
18f.gov,100,18-Sep-20
18f.gov,100,3-Oct-20
18f.gov,100,3-Oct-20
18f.gov,100,3-Oct-20
18f.gov,100,3-Oct-20
18f.gov,100,3-Oct-20
18f.gov,100,15-Oct-20
18f.gov,100,15-Oct-20
18f.gov,100,15-Oct-20
18f.gov,100,15-Oct-20
18f.gov,100,15-Oct-20
18f.gov,100,15-Oct-20
18f.gov,100,1-Nov-20
18f.gov,100,1-Nov-20
18f.gov,100,1-Nov-20
18f.gov,100,1-Nov-20
18f.gov,100,1-Nov-20
18f.gov,100,1-Nov-20
18f.gov,100,19-Nov-20
18f.gov,100,19-Nov-20
18f.gov,100,19-Nov-20
18f.gov,100,19-Nov-20
18f.gov,100,19-Nov-20
18f.gov,100,19-Nov-20
18f.gov,100,17-Dec-20
18f.gov,100,17-Dec-20
18f.gov,100,17-Dec-20
18f.gov,100,17-Dec-20
18f.gov,100,17-Dec-20
18f.gov,NULL,20-Dec-20
18f.gov,100,7-Jan-21
18f.gov,100,7-Jan-21
18f.gov,100,7-Jan-21
18f.gov,100,7-Jan-21
18f.gov,100,7-Jan-21
18f.gov,100,7-Jan-21
18f.gov,100,16-Jan-21
18f.gov,100,16-Jan-21
18f.gov,100,16-Jan-21
18f.gov,100,16-Jan-21
18f.gov,100,16-Jan-21
18f.gov,100,16-Jan-21
18f.gov,100,30-Jan-21
18f.gov,100,30-Jan-21
18f.gov,100,30-Jan-21
18f.gov,100,30-Jan-21
18f.gov,100,30-Jan-21
18f.gov,100,30-Jan-21
18f.gov,100,16-Feb-21
18f.gov,100,16-Feb-21
18f.gov,100,16-Feb-21
18f.gov,100,16-Feb-21
18f.gov,100,16-Feb-21
18f.gov,100,16-Feb-21
18f.gov,100,1-Mar-21
18f.gov,100,1-Mar-21
18f.gov,100,1-Mar-21
18f.gov,100,1-Mar-21
18f.gov,100,1-Mar-21
18f.gov,100,1-Mar-21
18f.gov,100,17-Mar-21
18f.gov,100,17-Mar-21
18f.gov,100,17-Mar-21
18f.gov,100,17-Mar-21
18f.gov,100,17-Mar-21
18f.gov,100,17-Mar-21
18f.gov,100,3-Apr-21
18f.gov,100,3-Apr-21
18f.gov,100,15-Apr-21
18f.gov,100,15-Apr-21
18f.gov,100,15-Apr-21
18f.gov,100,15-Apr-21
18f.gov,100,15-Apr-21
18f.gov,100,15-Apr-21
18f.gov,100,6-May-21
18f.gov,100,6-May-21
18f.gov,100,6-May-21
18f.gov,100,6-May-21
18f.gov,100,6-May-21
18f.gov,100,6-May-21
18f.gov,100,19-May-21
18f.gov,100,19-May-21
18f.gov,100,19-May-21
18f.gov,100,19-May-21
18f.gov,100,19-May-21
18f.gov,100,19-May-21
18f.gov,100,31-May-21
18f.gov,100,31-May-21
18f.gov,100,31-May-21
18f.gov,100,31-May-21
18f.gov,100,31-May-21
18f.gov,100,31-May-21
18f.gov,100,4-Jun-21
18f.gov,100,5-Jun-21
18f.gov,100,29-Jun-21
18f.gov,100,29-Jun-21
18f.gov,100,29-Jun-21
18f.gov,100,29-Jun-21
18f.gov,100,29-Jun-21
18f.gov,100,29-Jun-21
18f.gov,100,23-Jul-21
18f.gov,100,23-Jul-21
18f.gov,100,23-Jul-21
18f.gov,100,23-Jul-21
18f.gov,100,23-Jul-21
18f.gov,100,23-Jul-21
18f.gov,100,4-Aug-21
18f.gov,100,4-Aug-21
18f.gov,100,4-Aug-21
18f.gov,100,4-Aug-21
18f.gov,100,4-Aug-21
18f.gov,100,4-Aug-21
18f.gov,100,15-Aug-21
18f.gov,100,15-Aug-21
18f.gov,100,15-Aug-21
18f.gov,100,15-Aug-21
18f.gov,100,15-Aug-21
18f.gov,100,15-Aug-21
18f.gov,100,30-Aug-21
18f.gov,100,30-Aug-21
18f.gov,100,30-Aug-21
18f.gov,100,30-Aug-21
18f.gov,100,30-Aug-21
18f.gov,100,30-Aug-21
18f.gov,100,2-Sep-21
18f.gov,100,2-Sep-21
18f.gov,100,5-Oct-21
18f.gov,100,5-Oct-21
18f.gov,100,5-Oct-21
18f.gov,100,5-Oct-21
18f.gov,100,5-Oct-21
18f.gov,100,5-Oct-21
18f.gov,100,9-Oct-21
18f.gov,100,9-Oct-21
18f.gov,100,15-Oct-21
18f.gov,100,15-Oct-21
18f.gov,100,15-Oct-21
18f.gov,100,15-Oct-21
18f.gov,100,15-Oct-21
18f.gov,100,15-Oct-21
18f.gov,100,27-Oct-21
18f.gov,100,27-Oct-21
18f.gov,100,27-Oct-21
18f.gov,100,27-Oct-21
18f.gov,100,27-Oct-21
18f.gov,100,27-Oct-21
18f.gov,100,15-Nov-21
18f.gov,100,15-Nov-21
18f.gov,100,15-Nov-21
18f.gov,100,15-Nov-21
18f.gov,100,15-Nov-21
18f.gov,100,15-Nov-21
18f.gov,100,30-Nov-21
18f.gov,100,30-Nov-21
18f.gov,100,30-Nov-21
18f.gov,100,30-Nov-21
18f.gov,100,30-Nov-21
18f.gov,100,30-Nov-21
18f.gov,100,16-Dec-21
18f.gov,100,16-Dec-21
18f.gov,100,16-Dec-21
18f.gov,100,16-Dec-21
18f.gov,100,16-Dec-21
18f.gov,100,16-Dec-21
18f.gov,100,29-Dec-21
18f.gov,100,29-Dec-21
18f.gov,100,29-Dec-21
18f.gov,100,29-Dec-21
18f.gov,100,29-Dec-21
18f.gov,100,29-Dec-21
18f.gov,100,6-Jan-22
18f.gov,100,15-Jan-22
18f.gov,100,15-Jan-22
18f.gov,100,15-Jan-22
18f.gov,100,15-Jan-22
18f.gov,100,15-Jan-22
18f.gov,100,15-Jan-22
18f.gov,100,20-Jan-22
18f.gov,100,2-Feb-22
18f.gov,100,2-Feb-22
18f.gov,100,2-Feb-22
18f.gov,100,2-Feb-22
18f.gov,100,2-Feb-22
18f.gov,100,2-Feb-22
18f.gov,100,2-Mar-22
18f.gov,100,2-Mar-22
18f.gov,100,2-Mar-22
18f.gov,100,2-Mar-22
18f.gov,100,2-Mar-22
18f.gov,100,2-Mar-22
18f.gov,100,5-Mar-22
18f.gov,100,5-Mar-22
18f.gov,100,6-Mar-22
18f.gov,100,6-Mar-22
18f.gov,100,7-Mar-22
18f.gov,100,10-Mar-22
18f.gov,100,11-Mar-22
18f.gov,100,12-Mar-22
18f.gov,100,16-Mar-22
acquisition.gov,0,18-Jun-20
acquisition.gov,0,18-Jun-20
acquisition.gov,0,18-Jun-20
acquisition.gov,0,18-Jun-20
acquisition.gov,0,18-Jun-20
acquisition.gov,0,18-Jun-20
acquisition.gov,0,18-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,30-Jun-20
acquisition.gov,0,1-Jul-20
acquisition.gov,0,18-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,31-Jul-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,17-Aug-20
acquisition.gov,0,29-Aug-20
acquisition.gov,0,29-Aug-20
acquisition.gov,0,29-Aug-20
acquisition.gov,0,29-Aug-20
acquisition.gov,0,29-Aug-20
acquisition.gov,0,29-Aug-20
acquisition.gov,0,2-Sep-20
acquisition.gov,0,15-Sep-20
acquisition.gov,0,15-Sep-20
acquisition.gov,0,15-Sep-20
acquisition.gov,0,15-Sep-20
acquisition.gov,0,15-Sep-20
acquisition.gov,0,15-Sep-20
acquisition.gov,0,18-Sep-20
acquisition.gov,0,3-Oct-20
acquisition.gov,0,3-Oct-20
acquisition.gov,0,3-Oct-20
acquisition.gov,0,3-Oct-20
acquisition.gov,0,3-Oct-20
acquisition.gov,0,3-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,15-Oct-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,1-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,19-Nov-20
acquisition.gov,0,17-Dec-20
acquisition.gov,0,17-Dec-20
acquisition.gov,0,17-Dec-20
acquisition.gov,0,17-Dec-20
